,name,points,url,Достоверность маркировки,Антибиотики,Микробиология,Безопасность,Качество,Фальсификация,Органолептика,Содержание потенциально опасных веществ,Микробиологическая безопасность,Маркировка,Потребительские свойства,Потенциально вредные вещества,Пестициды нормируемые,Пестициды,Экокритерии,Антибиотики и токсичные элементы,Физико-химические показатели,Показатели качества,Введение потребителя в заблуждение,Достоверность информации,Органолептические и физико-химические показатели,Органолептические показатели,Консерванты,Витамины,Пищевая ценность,Минеральные вещества,Синтетические красители,Подсластители,Красители
79,Ярмолпрод	,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
80,Бежин луг,4.8875,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,4.438,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
81,Веселый Молочник,4.8875,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,4.438,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
82,Вкуснотеево,4.82,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,4.1,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
83,Дмитровский молочный завод,4.82,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,4.1,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
84,Дмитрогорский продукт,4.82,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,4.64,5.0,,,4.28,,,,,4.64,,,,,,,,,,,,,,,,
85,Кубанская буренка,4.82,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,4.1,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
86,Goodness farm,4.52,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,2.6,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
87,Чабан,4.475,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,4.55,3.5,,,4.1,,,,,4.55,,,,,,,,,,,,,,,,
88,Zorka,4.295,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,4.55,2.6,,,4.1,,,,,4.55,,,,,,,,,,,,,,,,
89,Деревенское молочко,4.175,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,3.0,,5.0,4.55,5.0,,,4.1,,,,,4.55,,,,,,,,,,,,,,,,
90,Амка,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
91,Белое облако,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
92,Большая кружка,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
93,Волжские Просторы,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
94,Из Вологды,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
95,Коровка из Кореновки,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
96,Милава,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
97,Савушкин Продукт,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
98,Свежее завтра,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
99,Шекснинский маслозавод,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
100,Из села Удоево,3.995,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,3.0,,5.0,4.55,4.1,,,4.1,,,,,4.55,,,,,,,,,,,,,,,,
101,Молочный родник,3.775,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,4.55,0.0,,,4.1,,,,,4.55,,,,,,,,,,,,,,,,
102,Добрая буренка,3.4,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,3.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
103,Молочные узоры,3.32,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,0.0,,5.0,5.0,4.1,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
104,Снежок,3.32,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,0.0,,5.0,5.0,4.1,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
105,Пискарёвский,2.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,0.0,,5.0,5.0,0.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
106,Околица,1.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,0.0,0.0,0.0,,,5.0,,,,,0.0,,,,,,,,,,,,,,,,
107,Лента,4.94,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,4.8,5.0,5.0,,,5.0,4.6,5.0,,5.0,,,,,,,,,,,,,,,
108,Азбука Вкуса,4.685,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,3.95,5.0,3.0,,,5.0,4.9,5.0,,5.0,,,,,,,,,,,,,,,
109,Московское,4.64,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,3.8,5.0,3.0,,,5.0,4.6,5.0,,5.0,,,,,,,,,,,,,,,
110,ГлавХолод,4.49,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,3.3,5.0,5.0,,,5.0,1.6,5.0,,5.0,,,,,,,,,,,,,,,
111,Русский холод,4.325,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,2.75,5.0,1.0,,,5.0,4.5,5.0,,5.0,,,,,,,,,,,,,,,
112,Козельское,4.115,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,2.05,5.0,3.0,,,5.0,1.1,5.0,,5.0,,,,,,,,,,,,,,,
113,Сарафаново,4.1,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,3.5,4.0,5.0,3.0,,,5.0,5.0,0.0,,5.0,,,,,,,,,,,,,,,
114,Чистая линия,3.95,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/morozhenoe-plombir-shokoladnyy/,5.0,5.0,5.0,5.0,1.5,5.0,3.0,,,5.0,0.0,5.0,,5.0,,,,,,,,,,,,,,,
